id,premises_name,legal_entity,address,town,region
chemist-warehouse-kilbirnie-capital-coast-and-hutt-valley,Chemist Warehouse Kilbirnie,Pharmacy Investments 34 Limited,"Shop 4, 27-31 Bay Road, Kilbirnie, Wellington, 6022, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
chemist-warehouse-lambton-quay-capital-coast-and-hutt-valley,Chemist Warehouse Lambton Quay,Pharmacy Investments 13 Limited,"Level 1, 262 Lambton Quay Wellington Central Wellington 6011, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
chemist-warehouse-palmerston-north-midcentral,Chemist Warehouse Palmerston North,Pharmacy Investments 71 Limited,"233-245 Rangitikei Street, Palmerston North, 4410, MidCentral",MidCentral,Central | Te Ikaroa
chemist-warehouse-porirua-capital-coast-and-hutt-valley,Chemist Warehouse Porirua,Pharmacy Investments 19 Limited,"Tenancy 2, 23 Parumoana Street Porirua City Centre Porirua 5022, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
chemist-warehouse-whanganui-whanganui,Chemist Warehouse Whanganui,Pharmacy Investments 39 Limited,"79 Victoria Avenue Whanganui 4500, Whanganui",Whanganui,Central | Te Ikaroa
city-health-pharmacy-midcentral,City Health Pharmacy,City Health Pharmacy Limited,"22 Victoria Avenue Terrace End PALMERSTON NORTH 4410, MidCentral",MidCentral,Central | Te Ikaroa
city-medical-centre-pharmacy-capital-coast-and-hutt-valley,City Medical Centre Pharmacy,City Medical Centre Pharmacy (2017) Limited,"Level 2, 190 Lambton Quay Wellington Central Wellington 6011, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
clive-pharmacy-hawke-s-bay,Clive Pharmacy,Anthe Limited,"185 Main Road Clive 4102, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
clive-s-chemist-capital-coast-and-hutt-valley,Clive's Chemist,Clive Cannons Limited,"20 - 21 Queen Street Wainuiomata Lower Hutt 5014, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
connolly-street-pharmacy-capital-coast-and-hutt-valley,Connolly Street Pharmacy,Connolly Street Pharmacy Limited,"Shop 3, 2 Connolly Street, Hutt Central, Lower Hutt, 5010, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
cookstpharmacy-midcentral,CookStPharmacy,Alquimia Limited,"281 College Street, West End, Palmerston North, 4412, MidCentral",MidCentral,Central | Te Ikaroa
crofton-downs-pharmacy-capital-coast-and-hutt-valley,Crofton Downs Pharmacy,Karen Rich Pharmacy Limited,"Churchill Drive Shopping Centre 124 Churchill Drive Crofton Downs Wellington 6035, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
dannevirke-pharmacy-midcentral,Dannevirke Pharmacy,Dannevirke Pharmacy Limited,"51 High Street, Dannevirke, 4930, MidCentral",MidCentral,Central | Te Ikaroa
dannevirke-wellness-pharmacy-wairarapa,Dannevirke Wellness Pharmacy,Wellpharma Limited,"3D Waterloo Street Dannevirke 4931, Wairarapa",Wairarapa,Central | Te Ikaroa
duncan-s-pharmacy-wairarapa,Duncan's Pharmacy,Pharmacy Solutions Limited,"443-445 Queen Street Kuripuni Masterton 5810, Wairarapa",Wairarapa,Central | Te Ikaroa
eastbourne-pharmacy-capital-coast-and-hutt-valley,Eastbourne Pharmacy,Eastbourne Pharmacy (1998) Limited,"5 Rimu Street Eastbourne LOWER HUTT 5013, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
feilding-health-pharmacy-midcentral,Feilding Health Pharmacy,Greenstone Pharmacy Holding Limited,"7 Duke Street Feilding 4702, MidCentral",MidCentral,Central | Te Ikaroa
