id,premises_name,legal_entity,address,town,region
mountainview-pharmacy-taranaki,Mountainview Pharmacy,Araba Pharmacy Limited,"65 Victoria Street, Hawera, 4610, Taranaki",Taranaki,Midland | Te Manawa Taki
my-pharmacy-papamoa-plaza-bay-of-plenty,My Pharmacy - Papamoa Plaza,John's at Palm Beach Plaza Pharmacy Limited,"Shop 8/9, Papamoa Plaza 7 Gravatt Road Papamoa Beach Papamoa 3118, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
my-pharmacy-whitiora-health-centre-bay-of-plenty,My Pharmacy Whitiora Health Centre,Palm Springs Pharmacy Limited,"Shop T4/191 The Boulevard, Papamoa Beach, Papamoa, 3118, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
mypharmacy-te-puke-bay-of-plenty,MyPharmacy Te Puke,Te Puke Pharmacies Limited,"96 Jellicoe Street Te Puke 3119, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
mypharmacy-the-avenues-bay-of-plenty,MyPharmacy The Avenues,MyPharmacy The Avenues Limited,"cnr 14th Avenue & 434 Devonport Road Tauranga South Tauranga 3112, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
nawton-pharmacy-waikato,Nawton Pharmacy,Nawton Pharmacy 2022 Limited,"107 Grandview Road Nawton Hamilton 3200, Waikato",Waikato,Midland | Te Manawa Taki
nga-hua-pharmacy-waikato,Nga Hua Pharmacy,Te Kohao Health Nga Hua Pharmacy Limited,"951 Wairere Drive, Hamilton East, Hamilton 3216, Waikato",Waikato,Midland | Te Manawa Taki
ngaruawahia-pharmacy-waikato,Ngaruawahia Pharmacy,HEMSHA Limited,"23 Jesmond Street Ngaruawahia 3720, Waikato",Waikato,Midland | Te Manawa Taki
ngatea-feelgood-pharmacy-waikato,Ngatea Feelgood Pharmacy,Ngatea Pharmacy (2015) Limited,"Shop 20, 20 Orchard West Road NGATEA 3503, Waikato",Waikato,Midland | Te Manawa Taki
ngongotaha-pharmacy-limited-lakes,Ngongotaha Pharmacy Limited,Ngongotaha Pharmacy Limited,"17 Taui Street, Ngongotaha, Rotorua, 3010, Lakes",Lakes,Midland | Te Manawa Taki
northcare-pukete-pharmacy-waikato,Northcare Pukete Pharmacy,Northcare Pukete Pharmacy (2016) Limited,"10A Pukete Road, Saint Andrews, Hamilton, 3200, Waikato",Waikato,Midland | Te Manawa Taki
northcare-thomas-rd-pharmacy-waikato,Northcare Thomas Rd Pharmacy,Northcare Thomas Rd Pharmacy (2016) Limited,"107 Thomas Road Huntington Hamilton 3210, Waikato",Waikato,Midland | Te Manawa Taki
oakura-pharmacy-taranaki,Oakura Pharmacy,Coastal Pharma Limited,"1132 South Road Oakura 4314, Taranaki",Taranaki,Midland | Te Manawa Taki
ohope-beach-pharmacy-bay-of-plenty,Ohope Beach Pharmacy,Ohope Beach Pharmacy 2023 Limited,"262 Pohutukawa Avenue Ohope 3121, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
omokoroa-pharmacy-bay-of-plenty,Omokoroa Pharmacy,Omokoroa Pharmacy 2025 Limited,"170 Omokoroa Road Omokoroa 3114, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
opotiki-pharmacy-bay-of-plenty,Opotiki Pharmacy,Apothecary Limited,"110 Church Street, Opotiki, 3122, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
opunake-pharmacy-taranaki,Opunake Pharmacy,Araba Pharmacy Limited,"26 Napier Street, Opunake, 4616, Taranaki",Taranaki,Midland | Te Manawa Taki
owhata-medical-centre-pharmacy-lakes,Owhata Medical Centre Pharmacy,Becept Group Limited,"Unit 1B, 556 Te Ngae Road Owhata Rotorua 3010, Lakes",Lakes,Midland | Te Manawa Taki
patea-pharmacy-taranaki,Patea Pharmacy,Araba Pharmacy Patea Limited,"71 Egmont Street PATEA 4520, Taranaki",Taranaki,Midland | Te Manawa Taki
pharmacy-257-bay-of-plenty,Pharmacy 257,Eifo Health Limited,"Tenancy 1, 257 Maunganui Road, Mount Maunganui 3116, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
pharmacy-53-tair-whiti,Pharmacy 53,Pharmacy 53 Limited,"10 Ballance Street Whataupoko Gisborne 4010, Tairāwhiti",Tairāwhiti,Midland | Te Manawa Taki
pharmacy-547-waikato,Pharmacy 547,Anglesea Health Management Limited,"Anglesea Medical Property Complex, 157 Anglesea Street, Hamilton Central, Hamilton, 3204, Waikato",Waikato,Midland | Te Manawa Taki
pharmacy-bell-block-taranaki,Pharmacy @ Bell Block,Jalen BB Limited,"188 Parklands Avenue Bell Block NEW PLYMOUTH 4312, Taranaki",Taranaki,Midland | Te Manawa Taki
pharmacy-carefirst-taranaki,Pharmacy @ Carefirst,Araba Pharmacy Limited,"99 Tukapa Street, Westown, New Plymouth, 4310, Taranaki",Taranaki,Midland | Te Manawa Taki
pharmacy-on-cameron-bay-of-plenty,Pharmacy On Cameron,Pharmacy Care Group Limited,"Shop 3, 850 Cameron Road Tauranga South Tauranga 3112, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
pharmacy-three-rivers-tair-whiti,Pharmacy Three Rivers,Kennedy Pharmacy Limited,"75 Customhouse Street Gisborne 4010, Tairāwhiti",Tairāwhiti,Midland | Te Manawa Taki
pharmacy-westend-lakes,Pharmacy Westend,Pharmacy Westend 2022 Limited,"227 Old Taupo Road Hillcrest Rotorua 3015, Lakes",Lakes,Midland | Te Manawa Taki
phoenix-pharmacy-2001-limited-bay-of-plenty,Phoenix Pharmacy (2001) Limited,Phoenix Pharmacy (2001) Limited,"Shop 2, Phoenix House 11 Pyne Street WHAKATANE 3120, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
pollen-street-pharmacy-waikato,Pollen Street Pharmacy,Pollen Street Pharmacy 2020 Limited,"Shop B, 330A Pollen Street, Thames, 3500, Waikato",Waikato,Midland | Te Manawa Taki
pyes-pa-pharmacy-bay-of-plenty,Pyes Pa Pharmacy,JAGCAL Limited,"Shop 7, 83 Pyes Pa Road Pyes Pa TAURANGA 3112, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
raglan-pharmacy-waikato,Raglan Pharmacy,RPJS Limited,"8 Bow Street Raglan 3225, Waikato",Waikato,Midland | Te Manawa Taki
ranolf-pharmacy-lakes,Ranolf Pharmacy,Samnem Limited,"59 Ranolf Street Victoria Rotorua 3010, Lakes",Lakes,Midland | Te Manawa Taki
rauru-pharmacy-tair-whiti,Rauru Pharmacy,Rauru Pharmacy Limited,"75 Huxley Road Outer Kaiti Gisborne 4010, Tairāwhiti",Tairāwhiti,Midland | Te Manawa Taki
roberts-ngaruawahia-pharmacy-waikato,Roberts Ngaruawahia Pharmacy,HEMSHA Limited,"11 Galileo Street Ngaruawahia 3720, Waikato",Waikato,Midland | Te Manawa Taki
robertsons-high-street-pharmacy-taranaki,Robertsons High Street Pharmacy,Robertsons Pharmacy Limited,"94 High Street HAWERA 4610, Taranaki",Taranaki,Midland | Te Manawa Taki
robertsons-hunter-street-pharmacy-taranaki,Robertsons Hunter Street Pharmacy,Robertsons Pharmacy Limited,"41 Hunter Street, Hawera, 4610, Taranaki",Taranaki,Midland | Te Manawa Taki
robertsons-strandon-pharmacy-taranaki,Robertsons Strandon Pharmacy,Robertsons Pharmacy Limited,"488 Devon Street East, Strandon, New Plymouth, 4312, Taranaki",Taranaki,Midland | Te Manawa Taki
sanders-pharmacy-waikato,Sanders Pharmacy,Pharmacy Futures Limited,"3/670 Cambridge Road Te Awamutu 3800, Waikato",Waikato,Midland | Te Manawa Taki
sean-shivnan-pharmacy-limited-tair-whiti,Sean Shivnan Pharmacy Limited,Sean Shivnan Pharmacy Limited,"578 Gladstone Road Te Hapara GISBORNE 4010, Tairāwhiti",Tairāwhiti,Midland | Te Manawa Taki
south-city-health-pharmacy-2012-limited-waikato,South City Health Pharmacy 2012 Limited,South City Health Pharmacy 2012 Limited,"91 Kahikatea Drive Melville Hamilton 3206, Waikato",Waikato,Midland | Te Manawa Taki
stratford-pharmacy-taranaki,Stratford Pharmacy,Calm Future Limited,"235 Broadway STRATFORD 4332, Taranaki",Taranaki,Midland | Te Manawa Taki
tairua-pauanui-pharmacy-limited-waikato,Tairua-Pauanui Pharmacy Limited,Tairua-Pauanui Pharmacy Limited,"Shop 1, 226 Main Road Tairua 3508, Waikato",Waikato,Midland | Te Manawa Taki
tara-road-pharmacy-bay-of-plenty,Tara Road Pharmacy,Tara Road Pharmacy Limited,"1E Tara Road, Papamoa, Tauranga 3187, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
tarawera-pharmacy-limited-bay-of-plenty,Tarawera Pharmacy Limited,Tarawera Pharmacy Limited,"106 Onslow Street KAWERAU 3127, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
te-aroha-pharmacy-waikato,Te Aroha Pharmacy,Kaimai Rise Limited,"189 - 191 Whitaker Street, Te Aroha, 3320, Waikato",Waikato,Midland | Te Manawa Taki
te-awamutu-pharmacy-limited-waikato,Te Awamutu Pharmacy Limited,Te Awamutu Pharmacy Limited,"168 Alexandra Street TE AWAMUTU 3800, Waikato",Waikato,Midland | Te Manawa Taki
te-kauwhata-pharmacy-2017-limited-waikato,Te Kauwhata Pharmacy 2017 Limited,Te Kauwhata Pharmacy 2017 Limited,"14 Main Road Te Kauwhata 3710, Waikato",Waikato,Midland | Te Manawa Taki
te-ngae-pharmacy-lakes,Te Ngae Pharmacy,Te Ngae Pharmacy (2010) Limited,"Unit 4A, 5 Tarawera Road Lynmore ROTORUA 3010, Lakes",Lakes,Midland | Te Manawa Taki
te-puna-pharmacy-bay-of-plenty,Te Puna Pharmacy,Te Puna Pharmacy Limited,"Shop 2C/4 Te Puna Road Te Puna Tauranga 3174, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
thames-centre-pharmacy-waikato,Thames Centre Pharmacy,Moore's Med Centre Pharmacy Limited,"817 Rolleston Street THAMES 3500, Waikato",Waikato,Midland | Te Manawa Taki
the-crossing-pharmacy-bay-of-plenty,The Crossing Pharmacy,Downtown Pharmacy Mt Maunganui Limited,"Shop RG-12, Tauranga Crossing 2 Taurikura Drive Tauriko Tauranga 3110, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
tiaho-pharmacy-rotorua-lakes,Tiaho Pharmacy Rotorua,Putaruru Pharmacy Limited,"553 Te Ngae Road, Owhata, Rotorua 3010, Lakes",Lakes,Midland | Te Manawa Taki
tui-ora-health-pharmacy-limited-taranaki,Tui Ora Health Pharmacy Limited,Tui Ora Health Pharmacy Limited,"36 Maratahu Street, Westown, New Plymouth, 4310, Taranaki",Taranaki,Midland | Te Manawa Taki
tui-pharmacy-borman-road-waikato,Tui Pharmacy Borman Road,Tui Pharmacy Borman Road Limited,"Unit 1, 60 Hare Puke Drive, Flagstaff, Hamilton 3210, Waikato",Waikato,Midland | Te Manawa Taki
tui-pharmacy-central-waikato,Tui Pharmacy Central,Tui Pharmacy Central Limited,"Shop 4, 960 Victoria Street Whitiora HAMILTON 3200, Waikato",Waikato,Midland | Te Manawa Taki
tui-pharmacy-parkwood-waikato,Tui Pharmacy Parkwood,Tui Pharmacy Limited,"6 Gordonton Road, Chartwell, Hamilton 3210, Waikato",Waikato,Midland | Te Manawa Taki
tui-pharmacy-te-rapa-limited-waikato,Tui Pharmacy Te Rapa Limited,Tui Pharmacy Te Rapa Limited,"Unit 7, 26 Bryant Road Te Rapa Hamilton 3200, Waikato",Waikato,Midland | Te Manawa Taki
unichem-adamson-s-pharmacy-bay-of-plenty,Unichem Adamson's Pharmacy,Whakatane Pharmacies 2021 Limited,"52 King Street Whakatane 3120, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-beerescourt-pharmacy-waikato,Unichem Beerescourt Pharmacy,Everhealth Care Limited,"1365 Victoria Street Beerescourt Hamilton 3200, Waikato",Waikato,Midland | Te Manawa Taki
unichem-bramwells-pharmacy-tair-whiti,Unichem Bramwells Pharmacy,JJ Noel Limited,"232 Gladstone Road Gisborne 4010, Tairāwhiti",Tairāwhiti,Midland | Te Manawa Taki
unichem-brookfield-pharmacy-bay-of-plenty,Unichem Brookfield Pharmacy,Brookfield Pharmacy 2024 Limited,"Shop 3 & 4, Brookfield Shopping Centre, 85 Bellevue Road, Brookfield, Tauranga, 3110, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-cambridge-medical-pharmacy-waikato,Unichem Cambridge Medical Pharmacy,Cambridge Pharmacies 2020 Limited,"48 Alpha Street Cambridge 3434, Waikato",Waikato,Midland | Te Manawa Taki
unichem-cambridge-pharmacy-waikato,Unichem Cambridge Pharmacy,Cambridge Pharmacies 2020 Limited,"52 Victoria Street Cambridge 3434, Waikato",Waikato,Midland | Te Manawa Taki
unichem-central-pharmacy-rotorua-lakes,Unichem Central Pharmacy Rotorua,Becept Group Limited,"1181 Amohia Street Rotorua 3010, Lakes",Lakes,Midland | Te Manawa Taki
unichem-chadwick-pharmacy-bay-of-plenty,Unichem Chadwick Pharmacy,Bay Pharmacies 2015 Limited,"120 Chadwick Road, Greerton, Tauranga, 3112, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-cherrywood-pharmacy-bay-of-plenty,Unichem Cherrywood Pharmacy,Bay Pharmacies 2025 Limited,"52-54 Cherrywood Drive Otumoetai Tauranga 3110, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-coromandel-pharmacy-waikato,Unichem Coromandel Pharmacy,Coromandel Pharmacy 2014 Limited,"89 Kapanga Road, Coromandel, 3506, Waikato",Waikato,Midland | Te Manawa Taki
unichem-davies-corner-pharmacy-waikato,Unichem Davies Corner Pharmacy,Davies Corner Pharmacy Limited,"29 Hukanui Road, Fairfield, Hamilton, 3214, Waikato",Waikato,Midland | Te Manawa Taki
unichem-dinsdale-pharmacy-waikato,Unichem Dinsdale Pharmacy,Dinsdale Community Pharmacy Limited,"27C Whatawhata Road Dinsdale HAMILTON 3204, Waikato",Waikato,Midland | Te Manawa Taki
unichem-excelsa-pharmacy-bay-of-plenty,Unichem Excelsa Pharmacy,Golden Sands Pharmacy Limited,"Tenancy 2, 5 Golden Sands Drive, Papamoa Beach, Papamoa, 3118, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-fairy-springs-pharmacy-lakes,Unichem Fairy Springs Pharmacy,Becept Group Limited,"10/100 Fairy Springs Road, Fairy Springs, Rotorua, 3015, Lakes",Lakes,Midland | Te Manawa Taki
unichem-family-health-pharmacy-waikato,Unichem Family Health Pharmacy,Cambridge Pharmacies 2020 Limited,"Unit 3, 1913 Cambridge Road Cambridge 3434, Waikato",Waikato,Midland | Te Manawa Taki
unichem-fifteenth-avenue-pharmacy-bay-of-plenty,Unichem Fifteenth Avenue Pharmacy,Tauranga Pharmacy Services Limited,"Unit 4/51 Fifteenth Avenue Tauranga South Tauranga 3112, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-fifth-avenue-pharmacy-bay-of-plenty,Unichem Fifth Avenue Pharmacy,Alba Pharmacies Limited,"40 Fifth Avenue Tauranga 3110, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-flagstaff-pharmacy-waikato,Unichem Flagstaff Pharmacy,Flagstaff Pharmacy Limited,"1158 River Road Flagstaff HAMILTON 3210, Waikato",Waikato,Midland | Te Manawa Taki
unichem-glenview-medical-pharmacy-waikato,Unichem Glenview Medical Pharmacy,Glenview Pharmacy Limited,"1 Urlich Avenue, Melville, Hamilton 3206, Waikato",Waikato,Midland | Te Manawa Taki
unichem-glenview-pharmacy-waikato,Unichem Glenview Pharmacy,Glenview Pharmacy Limited,"143 Ohaupo Road, Melville, Hamilton, 3206, Waikato",Waikato,Midland | Te Manawa Taki
unichem-greerton-pharmacy-bay-of-plenty,Unichem Greerton Pharmacy,Bay Pharmacies 2015 Limited,"221 Chadwick Road Greerton Tauranga 3112, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-grey-street-pharmacy-waikato,Unichem Grey Street Pharmacy,PCO Pharmacies Limited,"354 Grey Street Hamilton East Hamilton 3216, Waikato",Waikato,Midland | Te Manawa Taki
unichem-hamilton-pharmacy-waikato,Unichem Hamilton Pharmacy,Hamilton Pharmacy 2011 Limited,"1/173 Anglesea Street Hamilton Central Hamilton 3204, Waikato",Waikato,Midland | Te Manawa Taki
unichem-health-centre-pharmacy-waikato,Unichem Health Centre Pharmacy,Tokoroa Pharmacy Services Limited,"Tokoroa Hospital Gate 3 Maraetai Road TOKOROA 3420, Waikato",Waikato,Midland | Te Manawa Taki
unichem-health-centre-pharmacy-taupo-lakes,Unichem Health Centre Pharmacy Taupo,Main Street Pharmacy Limited,"113 Heuheu Street Taupo 3330, Lakes",Lakes,Midland | Te Manawa Taki
unichem-huntly-pharmacy-waikato,Unichem Huntly Pharmacy,Pharmacy on Main 2019 Limited,"82 - 86 Main Street, Huntly, 3700, Waikato",Waikato,Midland | Te Manawa Taki
unichem-inglewood-pharmacy-taranaki,Unichem Inglewood Pharmacy,Pharmacia 2020 Limited,"4 Matai Street Inglewood 4347, Taranaki",Taranaki,Midland | Te Manawa Taki
unichem-katikati-health-pharmacy-bay-of-plenty,Unichem Katikati Health Pharmacy,Katikati Pharmacies 2024 Limited,"4 Clive Road Katikati 3129, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-katikati-pharmacy-bay-of-plenty,Unichem Katikati Pharmacy,Katikati Pharmacies 2024 Limited,"26 Main Road, Katikati, 3129, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-kope-pharmacy-bay-of-plenty,Unichem Kope Pharmacy,Whakatane Pharmacies 2021 Limited,"78 King Street Whakatane 3120, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-leamington-pharmacy-waikato,Unichem Leamington Pharmacy,Leamington Pharmacy (1981) Limited,"127 Shakespeare Street Leamington Cambridge 3432, Waikato",Waikato,Midland | Te Manawa Taki
unichem-mackays-pharmacy-taranaki,Unichem Mackays Pharmacy,Araba Pharmacy Limited,"289 Broadway Stratford 4332, Taranaki",Taranaki,Midland | Te Manawa Taki
unichem-mainstreet-pharmacy-lakes,Unichem Mainstreet Pharmacy,Main Street Pharmacy Limited,"51 Tongariro Street TAUPO 3330, Lakes",Lakes,Midland | Te Manawa Taki
unichem-marshalls-medical-pharmacy-waikato,Unichem Marshalls Medical Pharmacy,T.A. Pharma Limited,"220 Bank Street TE AWAMUTU 3800, Waikato",Waikato,Midland | Te Manawa Taki
unichem-marshalls-pharmacy-waikato,Unichem Marshalls Pharmacy,T.A. Pharma Limited,"156 Teasdale Street Te Awamutu 3800, Waikato",Waikato,Midland | Te Manawa Taki
unichem-matamata-pharmacy-waikato,Unichem Matamata Pharmacy,McSweeney Pharmacy Group Limited,"56 Rawhiti Avenue Matamata 3400, Waikato",Waikato,Midland | Te Manawa Taki
unichem-metro-pharmacy-bethlehem-bay-of-plenty,Unichem Metro Pharmacy Bethlehem,Pharmacy B102 Limited,"Shops A8 & A9, Bethlehem Town Centre 19 Bethlehem Road Bethlehem TAURANGA 3110, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-morrinsville-pharmacy-waikato,Unichem Morrinsville Pharmacy,Island View Limited,"72 Studholme Street Morrinsville 3300, Waikato",Waikato,Midland | Te Manawa Taki
unichem-otorohanga-pharmacy-waikato,Unichem Otorohanga Pharmacy,Walker Holdings (2009) Limited,"Ground Floor 55 Maniapoto Street Otorohanga 3900, Waikato",Waikato,Midland | Te Manawa Taki
unichem-otumoetai-pharmacy-bay-of-plenty,Unichem Otumoetai Pharmacy,Bay Pharmacies 2025 Limited,"506 Otumoetai Road Otumoetai Tauranga 3110, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-paeroa-pharmacy-waikato,Unichem Paeroa Pharmacy,MACS Pharmacies Limited,"122 Normanby Road Paeroa 3600, Waikato",Waikato,Midland | Te Manawa Taki
unichem-papamoa-pharmacy-bay-of-plenty,Unichem Papamoa Pharmacy,Papamoa Pharmacy 2023 Limited,"Unit G, 26 Gravatt Road, Papamoa Beach, Papamoa, 3118, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-pharmacy-81-lakes,Unichem Pharmacy 81,Main Street Pharmacy Limited,"81 Te Heuheu Street, Taupo 3330, Lakes",Lakes,Midland | Te Manawa Taki
unichem-putaruru-pharmacy-waikato,Unichem Putaruru Pharmacy,Putaruru Pharmacy Limited,"Ground Floor, 3 Duke Street PUTARURU 3411, Waikato",Waikato,Midland | Te Manawa Taki
unichem-rototuna-pharmacy-waikato,Unichem Rototuna Pharmacy,Radius Pharmacy Te Rapa Limited,"Shop number 14 -16, Rototuna Retail Centre corner of Thomas Road & Horsham Downs Road Rototuna HAMILTON 3210, Waikato",Waikato,Midland | Te Manawa Taki
unichem-stephensons-pharmacy-waikato,Unichem Stephensons Pharmacy,Whiti Pharmacy Limited,"64 Albert Street Whitianga 3510, Waikato",Waikato,Midland | Te Manawa Taki
unichem-tamahere-pharmacy-waikato,Unichem Tamahere Pharmacy,Tamahere Pharmacy Limited,"Unit 3, 61 Devine Road Tamahere Hamilton 3283, Waikato",Waikato,Midland | Te Manawa Taki
unichem-taumarunui-pharmacy-waikato,Unichem Taumarunui Pharmacy,Taumarunui Pharmacy Limited,"93 Hakiaha Street Taumarunui 3920, Waikato",Waikato,Midland | Te Manawa Taki
unichem-te-kuiti-pharmacy-waikato,Unichem Te Kuiti Pharmacy,JSJ Pharmacy Limited,"Shops 1 & 2, 105 Rora Street, Te Kuiti, 3910, Waikato",Waikato,Midland | Te Manawa Taki
unichem-thames-pharmacy-waikato,Unichem Thames Pharmacy,Thames Pharmacy Limited,"546 Pollen Street Thames 3500, Waikato",Waikato,Midland | Te Manawa Taki
unichem-the-mall-pharmacy-rotorua-lakes,Unichem The Mall Pharmacy Rotorua,Sinel-Francis Pharmacy Limited,"Shop 27, Rotorua Central Mall 1170 Amohau Street ROTORUA 3010, Lakes",Lakes,Midland | Te Manawa Taki
unichem-tokoroa-pharmacy-waikato,Unichem Tokoroa Pharmacy,Tokoroa Pharmacy Services Limited,"221 Leith Place TOKOROA 3420, Waikato",Waikato,Midland | Te Manawa Taki
unichem-total-health-pharmacy-bay-of-plenty,Unichem Total Health Pharmacy,MegaB Yao Limited,"Shop 3, 252 The Strand Whakatane 3120, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
unichem-turangi-pharmacy-lakes,Unichem Turangi Pharmacy,Turangi Pharmacy 2012 Limited,"19 Ohuanga Road TURANGI 3334, Lakes",Lakes,Midland | Te Manawa Taki
unichem-westown-pharmacy-taranaki,Unichem Westown Pharmacy,Jeffrey Lucas Chemist Limited,"55 Tukapa Street Westown NEW PLYMOUTH 4310, Taranaki",Taranaki,Midland | Te Manawa Taki
unichem-whangamata-pharmacy-waikato,Unichem Whangamata Pharmacy,Langford Pharmacy Whangamata Limited,"503A Port Road Whangamata 3620, Waikato",Waikato,Midland | Te Manawa Taki
vercoe-road-pharmacy-waikato,Vercoe Road Pharmacy,J & J Pharmacy Limited,"35 Vercoe Road, Beerescourt, Hamilton, 3200, Waikato",Waikato,Midland | Te Manawa Taki
vivian-pharmacy-limited-taranaki,Vivian Pharmacy Limited,Vivian Pharmacy Limited,"95 Vivian Street NEW PLYMOUTH 4310, Taranaki",Taranaki,Midland | Te Manawa Taki
vogeltown-pharmacy-taranaki,Vogeltown Pharmacy,Vogeltown Pharmacy 2015 Limited,"272 Carrington Street Vogeltown NEW PLYMOUTH 4310, Taranaki",Taranaki,Midland | Te Manawa Taki
waihi-beach-chemist-bay-of-plenty,Waihi Beach Chemist,Waihi Beach Chemist 2007 Limited,"15 Wilson Road Waihi Beach 3611, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
waitara-pharmacy-taranaki,Waitara Pharmacy,Waitara Pharmacy (2025) Limited,"56 McLean Street, Waitara, 4320, Taranaki",Taranaki,Midland | Te Manawa Taki
welcome-bay-pharmacy-limited-bay-of-plenty,Welcome Bay Pharmacy Limited,Welcome Bay Pharmacy Limited,"Units I & L, Welcome Bay Commercial Centre 252 Welcome Bay Road Welcome Bay Tauranga 3112, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
west-hamilton-pharmacy-waikato,West Hamilton Pharmacy,Grand View Pharmacy Limited,"Unit D, New Nawton Shopping Centre, 66 Hyde Avenue, Nawton, Hamilton, 3200, Waikato",Waikato,Midland | Te Manawa Taki
westend-pharmacy-waikato,Westend Pharmacy,G & G Pharmacy Limited,"38 Tuhikaramea Road Dinsdale HAMILTON 3204, Waikato",Waikato,Midland | Te Manawa Taki
western-heights-pharmacy-lakes,Western Heights Pharmacy,Western Heights Pharmacy Limited,"10 Brookland Road Western Heights Rotorua 3015, Lakes",Lakes,Midland | Te Manawa Taki
whangamata-pharmacy-waikato,Whangamata Pharmacy,Whangamata Pharmacy (2013) Limited,"429 Port Road Whangamata 3620, Waikato",Waikato,Midland | Te Manawa Taki
woolworths-pharmacy-bayfair-bay-of-plenty,Woolworths Pharmacy Bayfair,GDL Rx No6 Limited,"19 Girven Road, Mount Maunganui, 3116, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
woolworths-pharmacy-cambridge-waikato,Woolworths Pharmacy Cambridge,GDL Rx No2 Limited,"97 Queen Street, Cambridge, 3434, Waikato",Waikato,Midland | Te Manawa Taki
woolworths-pharmacy-claudelands-waikato,Woolworths Pharmacy Claudelands,GDL Rx No3 Limited,"160 Peachgrove Road, Hamilton East, Hamilton, 3216, Waikato",Waikato,Midland | Te Manawa Taki
woolworths-pharmacy-fraser-cove-bay-of-plenty,Woolworths Pharmacy Fraser Cove,GDL Rx No4 Limited,"243 Fraser Street, Tauranga South, Tauranga, 3112, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
woolworths-pharmacy-rotorua-lakes,Woolworths Pharmacy Rotorua,GDL Rx No7 Limited,"246 Fenton Street, Victoria, Rotorua, 3010, Lakes",Lakes,Midland | Te Manawa Taki
woolworths-pharmacy-rototuna-waikato,Woolworths Pharmacy Rototuna,GDL Rx No7 Limited,"3 Fergy Place Rototuna North Hamilton 3210, Waikato",Waikato,Midland | Te Manawa Taki
woolworths-pharmacy-spotswood-taranaki,Woolworths Pharmacy Spotswood,GDL Rx No5 Limited,"6 Manadon Street Spotswood New Plymouth 4310, Taranaki",Taranaki,Midland | Te Manawa Taki
woolworths-pharmacy-te-rapa-waikato,Woolworths Pharmacy Te Rapa,GDL Rx No7 Limited,"8 Eagle Way, Pukete, Hamilton, 3200, Waikato",Waikato,Midland | Te Manawa Taki
your-pharmacy-mount-maunganui-bay-of-plenty,Your Pharmacy Mount Maunganui,Care Chemists (Mount Maunganui) Limited,"6 Grenada Street Mount Maunganui 3116, Bay of Plenty",Bay of Plenty,Midland | Te Manawa Taki
3-kings-plaza-pharmacy-auckland,3 Kings Plaza Pharmacy,FCP 3 Kings Plaza Limited,"536 Mount Albert Road Three Kings Auckland 1042, Auckland",Auckland,Northern
airport-oaks-pharmacy-counties-manukau,Airport Oaks Pharmacy,Alchemy Airport Oaks Limited,"149C Kirkbride Road, Mangere, Auckland, 2022, Counties Manukau",Counties Manukau,Northern
alberton-pharmacy-auckland,Alberton Pharmacy,Zahara NZ Limited,"99 St Lukes Road, Sandringham, Auckland, 1025, Auckland",Auckland,Northern
all-seasons-pharmacy-waitemat,All Seasons Pharmacy,Alchemy22 Limited,"Ground Floor, All Seasons Centre 288 Te Atatu Road Te Atatu South Auckland 0652, Waitematā",Waitematā,Northern
